time,daily_max_T,daily_mean_T
1997.545091226656,-12.5300,-13.2025
1997.547830952684,-13.4600,-15.2171
1997.550570678711,-13.0000,-15.3638
1997.553310404738,-13.2000,-15.6367
1997.556050130766,-15.3700,-17.5783
1997.558789856793,-14.9500,-16.5008
1997.561529582821,-12.4900,-14.5429
1997.564269308848,-12.4100,-14.0175
1997.567009034875,-11.2200,-13.1054
1997.569748760903,-7.40000,-10.5321
1997.572488486930,-7.96000,-10.0392
1997.575228212957,-8.81000,-10.6992
1997.577967938985,-9.81000,-11.2450
1997.580707665012,-10.8600,-11.6792
1997.583447391040,-10.6000,-11.6817
1997.586187117067,-11.5700,-12.3642
1997.588926843094,-10.1400,-11.6321
1997.591666569122,-12.0900,-13.0792
1997.594406295149,-13.4800,-14.4008
1997.597146021177,-13.8900,-15.0400
1997.599885747204,-15.1700,-16.4479
1997.602625473231,-11.0600,-14.2612
1997.605365199259,-11.8500,-15.6304
1997.608104925286,-14.4300,-19.1850
1997.610844651314,-13.8000,-18.4187
1997.613584377341,-9.47000,-12.2675
1997.616324103368,-8.10000,-8.84500
1997.619063829396,-8.07000,-8.99667
1997.621803555423,-10.3700,-11.6100
1997.624543281451,-9.11000,-11.3812
1997.627283007478,-9.99000,-11.1242
1997.630022733505,-10.4600,-11.7113
1997.632762459533,-11.2700,-12.0075
1997.635502185560,-10.7700,-12.3467
1997.638241911588,-12.7800,-16.1500
1997.640981637615,-12.7500,-17.0200
1997.643721363642,-16.7400,-19.3971
1997.646461089670,-16.7500,-21.1050
1997.649200815697,-16.5500,-18.7450
1997.651940541725,-17.8900,-18.5962
1997.654680267752,-19.5800,-20.6571
1997.657419993780,-18.9200,-20.2471
1997.660159719807,-20.6000,-21.7471
1997.662899445834,-20.1300,-22.5921
1997.665639171862,-20.2400,-21.9550
1997.668378897889,-22.6900,-25.1904
1997.671118623917,-19.6300,-20.9721
1997.673858349944,-18.0300,-18.9942
1997.676598075971,-17.5500,-18.4183
1997.679337801999,-18.5600,-19.5729
1997.682077528026,-21.0300,-21.8488
1997.684817254053,-22.5600,-23.5112
1997.687556980081,-25.2700,-25.8583
1997.690296706108,-24.7600,-25.6558
1997.693036432136,-26.5500,-27.0512
1997.695776158163,-26.5200,-27.9200
1997.698515884190,-27.9200,-29.3454
1997.701255610218,-26.5000,-27.9617
1997.703995378050,-29.0100,-30.2596
1997.706735104078,-29.4200,-30.0683
1997.709474830105,-29.1700,-29.5108
1997.712214556132,-30.6200,-31.7258
1997.714954282160,-28.4800,-30.0512
1997.717694008187,-26.9200,-27.7288
1997.720433734215,-26.8400,-27.2496
1997.723173460242,-27.2600,-28.4150
1997.725913186269,-24.9400,-26.5512
1997.728652912297,-21.5100,-23.4458
1997.731392638324,-21.6700,-22.5721
1997.734132364351,-23.5300,-24.3383
1997.736872090379,-22.2100,-23.0042
1997.739611816406,-24.2100,-25.7487
1997.742351542434,-27.7600,-28.8771
1997.745091268461,-27.3200,-28.6204
1997.747830994488,-25.8000,-26.5950
1997.750570720516,-25.4600,-26.1300
1997.753310446543,-26.4600,-26.8792
1997.756050172571,-28.7600,-29.8325
1997.758789898598,-28.3600,-29.3521
1997.761529624625,-28.0400,-28.9550
1997.764269350653,-28.9500,-29.8175
1997.767009076680,-30.2300,-30.9313
1997.769748802708,-31.7900,-32.5225
1997.772488528735,-30.2400,-31.3325
1997.775228254762,-29.0500,-29.7496
1997.777967980790,-30.2000,-31.9779
1997.780707706817,-29.8300,-31.5454
1997.783447432845,-28.9900,-29.5296
1997.786187158872,-30.6100,-32.5000
1997.788926884899,-33.1900,-35.2058
1997.791666610927,-29.7100,-31.0375
1997.794406336954,-30.2000,-31.8733
1997.797146062981,-33.7500,-34.9529
1997.799885789009,-32.7800,-34.6850
1997.802625515036,-31.4700,-31.7412
1997.805365241064,-31.4700,-31.7750
1997.808104967091,-31.9000,-33.8546
1997.810844693118,-35.2200,-35.4425
1997.813584419146,-33.1100,-35.1854
1997.816324145173,-30.6600,-31.4079
1997.819063871201,-29.3200,-30.2008
